Data,SI,Sudut,m,n,Status,
326,0,1.82482,10.7981, -1.#IND, FALSE, 
327,0,1.78194,11.5594, -1.#IND, FALSE, 
328,0,1.74201,12.1406, -1.#IND, FALSE, 
329,0,1.70416,12.6894, -1.#IND, FALSE, 
330,0,1.66938,13.151, -1.#IND, FALSE, 
331,0,1.63708,13.556, -1.#IND, FALSE, 
332,0,1.60603,13.9471, -1.#IND, FALSE, 
333,0,1.57718,14.2758, -1.#IND, FALSE, 
334,0,1.54816,14.7964, -1.#IND, FALSE, 
335,0,1.51815,15.2388, -1.#IND, FALSE, 
336,0,1.48829,15.604, -1.#IND, FALSE, 
337,0,1.45686,15.9267, -1.#IND, FALSE, 
338,0,1.4252,16.0656, -1.#IND, FALSE, 
339,0,1.38927,16.2749, -1.#IND, FALSE, 
340,0,1.35138,16.3732, -1.#IND, FALSE, 
341,0,1.30814,16.404, -1.#IND, FALSE, 
342,0,1.25898,16.1718, -1.#IND, FALSE, 
343,0,1.20728,15.5171, -1.#IND, FALSE, 
344,0,1.99138,14.5611, -1.#IND, FALSE, 
345,0,2.05674,13.2799, -1.#IND, FALSE, 
346,0,2.13043,11.6833, -1.#IND, FALSE, 
347,0,2.22046,9.74346, -1.#IND, FALSE, 
348,0,2.32406,7.5589, -1.#IND, FALSE, 
349,0,2.42595,5.54986, -1.#IND, FALSE, 
350,0,2.54138,3.65079, -1.#IND, FALSE, 
351,0,2.65706,2.16272, -1.#IND, FALSE, 
352,0,2.75539,1.22808, -1.#IND, FALSE, 
353,0,2.82963,0.718626, -1.#IND, FALSE, 
354,0,2.89363,0.407838, -1.#IND, FALSE, 
355,0,2.94774,0.225248, -1.#IND, FALSE, 
356,0,2.995,0.117702, -1.#IND, FALSE, 
357,0,3.03626,0.0560536, -1.#IND, FALSE, 
358,0,3.07026,0.023922, -1.#IND, FALSE, 
359,0,3.09837,0.00821782, -1.#IND, FALSE, 
360,0,3.12471,0.00118144, -1.#IND, FALSE, 
361,0,3.13599,0.000122956, -1.#IND, FALSE, 
362,0,3.11429,0.00278613, -1.#IND, FALSE, 
363,0,3.09292,0.00850001, -1.#IND, FALSE, 
364,0,3.07345,0.0160626, -1.#IND, FALSE, 
365,0,3.05384,0.0258775, -1.#IND, FALSE, 
366,0,3.03736,0.0356407, -1.#IND, FALSE, 
367,0,3.01969,0.0477482, -1.#IND, FALSE, 
368,0,3.00202,0.0615884, -1.#IND, FALSE, 
369,0,2.98428,0.0772251, -1.#IND, FALSE, 
370,0,2.96514,0.0962866, -1.#IND, FALSE, 
371,0,2.94696,0.116506, -1.#IND, FALSE, 
