Data,STATUS,SI,
377,TRUE,1.75716, 
378,TRUE,1.75685, 
379,TRUE,1.75658, 
380,TRUE,1.75613, 
381,TRUE,1.75602, 
382,TRUE,1.75649, 
383,TRUE,1.75683, 
384,TRUE,1.75712, 
385,TRUE,1.75682, 
386,TRUE,1.75717, 
387,TRUE,1.75733, 
388,TRUE,1.75718, 
389,TRUE,1.75667, 
390,TRUE,1.75686, 
391,TRUE,1.75718, 
392,TRUE,1.75675, 
393,TRUE,1.75717, 
394,TRUE,1.75736, 
395,TRUE,1.75734, 
396,TRUE,1.75724, 
397,TRUE,1.75734, 
398,TRUE,1.75725, 
399,TRUE,1.7573, 
400,TRUE,1.75741, 
401,TRUE,1.75749, 
402,TRUE,1.75753, 
403,TRUE,1.75754, 
404,TRUE,1.75752, 
405,TRUE,1.75754, 
406,TRUE,1.75767, 
407,TRUE,1.75792, 
408,TRUE,1.75814, 
409,TRUE,1.7588, 
410,TRUE,1.75967, 
411,TRUE,1.76088, 
412,TRUE,1.76229, 
413,TRUE,1.76384, 
414,TRUE,1.76556, 
415,TRUE,1.76702, 
416,TRUE,1.76794, 
417,TRUE,1.76836, 
418,TRUE,1.76746, 
419,TRUE,1.76618, 
420,TRUE,1.7648, 
421,TRUE,1.76316, 
422,TRUE,1.76167, 
423,TRUE,1.76043, 
424,TRUE,1.75936, 
425,TRUE,1.75856, 
426,TRUE,1.75839, 
427,TRUE,1.75811, 
428,TRUE,1.75868, 
429,TRUE,1.75953, 
430,TRUE,1.76011, 
431,TRUE,1.76076, 
432,TRUE,1.76124, 
433,TRUE,1.76211, 
434,TRUE,1.76301, 
435,TRUE,1.76357, 
436,TRUE,1.76403, 
437,TRUE,1.76456, 
438,TRUE,1.76488, 
439,TRUE,1.76508, 
440,TRUE,1.7652, 
441,TRUE,1.76521, 
442,TRUE,1.76522, 
443,TRUE,1.76512, 
444,TRUE,1.76512, 
445,TRUE,1.76501, 
446,TRUE,1.7647, 
447,TRUE,1.76475, 
448,TRUE,1.76465, 
449,TRUE,1.76476, 
450,TRUE,1.76471, 
451,TRUE,1.76488, 
452,TRUE,1.76492, 
453,TRUE,1.76489, 
454,TRUE,1.76483, 
455,TRUE,1.76528, 
456,TRUE,1.76591, 
457,TRUE,1.76618, 
458,TRUE,1.76654, 
459,TRUE,1.76733, 
460,TRUE,1.7681, 
461,TRUE,1.76877, 
462,TRUE,1.7695, 
463,TRUE,1.76983, 
464,TRUE,1.77011, 
465,TRUE,1.77043, 
466,TRUE,1.77074, 
467,TRUE,1.77117, 
468,TRUE,1.77144, 
469,TRUE,1.7717, 
470,TRUE,1.77185, 
471,TRUE,1.77183, 
472,TRUE,1.77191, 
473,TRUE,1.77192, 
474,TRUE,1.77193, 
475,TRUE,1.7719, 
476,TRUE,1.77194, 
477,TRUE,1.77207, 
478,TRUE,1.77229, 
479,TRUE,1.77249, 
480,TRUE,1.77261, 
481,TRUE,1.77281, 
482,TRUE,1.77337, 
483,TRUE,1.77457, 
484,TRUE,1.77632, 
485,TRUE,1.77775, 
486,TRUE,1.77838, 
487,TRUE,1.77828, 
488,TRUE,1.77809, 
489,TRUE,1.77675, 
490,TRUE,1.77523, 
491,TRUE,1.77376, 
492,TRUE,1.77201, 
493,TRUE,1.77037, 
494,TRUE,1.76886, 
495,TRUE,1.76771, 
496,TRUE,1.76712, 
497,TRUE,1.76685, 
498,TRUE,1.76629, 
499,TRUE,1.76612, 
500,TRUE,1.76616, 
501,TRUE,1.76629, 
502,TRUE,1.76712, 
503,TRUE,1.76778, 
504,TRUE,1.76792, 
505,TRUE,1.7687, 
506,TRUE,1.76896, 
507,TRUE,1.76971, 
508,TRUE,1.77033, 
509,TRUE,1.77078, 
510,TRUE,1.771, 
511,TRUE,1.77119, 
512,TRUE,1.77125, 
513,TRUE,1.77985, 
514,TRUE,1.78877, 
515,TRUE,1.79799, 
516,TRUE,1.80731, 
517,TRUE,1.81671, 
518,TRUE,1.82596, 
519,TRUE,1.83467, 
520,TRUE,1.84339, 
521,TRUE,1.85228, 
522,TRUE,1.8612, 
523,TRUE,1.86944, 
524,TRUE,1.87728, 
525,TRUE,1.88354, 
526,TRUE,1.88917, 
527,TRUE,1.8942, 
528,TRUE,1.89901, 
529,TRUE,1.90379, 
530,TRUE,1.90767, 
531,TRUE,1.91166, 
532,TRUE,1.91393, 
533,TRUE,1.91612, 
534,TRUE,1.91855, 
535,TRUE,1.92043, 
536,TRUE,1.9218, 
537,TRUE,1.92182, 
538,TRUE,1.92112, 
539,TRUE,1.91985, 
540,TRUE,1.91819, 
541,TRUE,1.91575, 
542,TRUE,1.91338, 
543,TRUE,1.91088, 
544,TRUE,1.90835, 
545,TRUE,1.90525, 
546,TRUE,1.90216, 
547,TRUE,1.89829, 
548,TRUE,1.89452, 
549,TRUE,1.89067, 
550,TRUE,1.88697, 
551,TRUE,1.88394, 
552,TRUE,1.88091, 
553,TRUE,1.87831, 
554,TRUE,1.87684, 
555,TRUE,1.87569, 
556,TRUE,1.87409, 
557,TRUE,1.87197, 
558,TRUE,1.86804, 
559,TRUE,1.86358, 
560,TRUE,1.85875, 
561,TRUE,1.85411, 
562,TRUE,1.84972, 
563,TRUE,1.84558, 
564,TRUE,1.84177, 
565,TRUE,1.83873, 
566,TRUE,1.8355, 
567,TRUE,1.83237, 
568,TRUE,1.83089, 
569,TRUE,1.82972, 
570,TRUE,1.82949, 
571,TRUE,1.83044, 
572,TRUE,1.83179, 
573,TRUE,1.83388, 
574,TRUE,1.83646, 
575,TRUE,1.84016, 
576,TRUE,1.84532, 
577,TRUE,1.85189, 
578,TRUE,1.85912, 
579,TRUE,1.86685, 
580,TRUE,1.875, 
581,TRUE,1.88368, 
582,TRUE,1.89275, 
583,TRUE,1.90197, 
584,TRUE,1.91121, 
585,TRUE,1.92038, 
586,TRUE,1.92937, 
587,TRUE,1.93843, 
588,TRUE,1.94694, 
589,TRUE,1.95472, 
590,TRUE,1.96237, 
591,TRUE,1.96905, 
592,TRUE,1.97565, 
593,TRUE,1.98212, 
594,TRUE,1.98809, 
595,TRUE,1.99349, 
596,TRUE,1.99834, 
597,TRUE,2.00293, 
598,TRUE,2.00646, 
599,TRUE,2.01008, 
600,TRUE,2.01267, 
601,TRUE,2.01447, 
602,TRUE,2.01584, 
603,TRUE,2.01758, 
604,TRUE,2.01891, 
605,TRUE,2.02014, 
606,TRUE,2.02067, 
607,TRUE,2.02092, 
608,TRUE,2.02089, 
609,TRUE,2.02013, 
610,TRUE,2.01876, 
611,TRUE,2.01687, 
612,TRUE,2.01423, 
613,TRUE,2.01058, 
614,TRUE,2.00706, 
615,TRUE,2.00367, 
616,TRUE,2.00032, 
617,TRUE,1.99678, 
618,TRUE,1.99329, 
619,TRUE,1.9902, 
620,TRUE,1.98703, 
621,TRUE,1.98425, 
622,TRUE,1.98222, 
623,TRUE,1.98038, 
624,TRUE,1.97676, 
625,TRUE,1.97209, 
626,TRUE,1.96715, 
627,TRUE,1.96198, 
628,TRUE,1.95578, 
