No,SI,Sudut,m,n,Status,
384,2.37346,2.85051,0.108667,5.19689, TRUE, 
385,2.37711,2.84594,0.112105,5.21337, TRUE, 
386,2.38347,2.84097,0.116142,5.21416, TRUE, 
387,2.39007,2.83565,0.12052,5.22182, TRUE, 
388,2.39909,2.82999,0.125487,5.21677, TRUE, 
389,2.40998,2.82395,0.131043,5.20461, TRUE, 
390,2.41966,2.81734,0.137,5.2153, TRUE, 
391,2.43176,2.81021,0.143779,5.21688, TRUE, 
392,2.4461,2.80264,0.151367,5.21069, TRUE, 
393,2.46188,2.79439,0.159883,5.20664, TRUE, 
394,2.4801,2.78565,0.169405,5.19495, TRUE, 
395,2.50136,2.77656,0.179984,5.16956, TRUE, 
396,2.52602,2.76728,0.191653,5.12747, TRUE, 
397,2.55347,2.75794,0.204296,5.07348, TRUE, 
398,2.58346,2.74877,0.217748,5.00904, TRUE, 
399,2.61525,2.73963,0.232065,4.94028, TRUE, 
400,2.64971,2.73051,0.247503,4.86677, TRUE, 
401,2.68552,2.72111,0.264169,4.79388, TRUE, 
402,2.72223,2.71249,0.280966,4.71994, TRUE, 
403,2.75814,2.70533,0.296763,4.64724, TRUE, 
404,2.79523,2.69858,0.313007,4.57883, TRUE, 
405,2.83153,2.6929,0.328474,4.5148, TRUE, 
406,2.86881,2.6864,0.345728,4.45242, TRUE, 
407,2.90496,2.68097,0.362038,4.39425, TRUE, 
408,2.93656,2.67948,0.372772,4.34917, TRUE, 
409,2.96485,2.68016,0.380041,4.31386, TRUE, 
410,2.98822,2.68342,0.38263,4.28928, TRUE, 
411,3.00422,2.69056,0.377911,4.28159, TRUE, 
412,3.01411,2.70032,0.367776,4.28746, TRUE, 
413,3.01328,2.71403,0.349353,4.31568, TRUE, 
414,3.00885,2.7277,0.330167,4.34899, TRUE, 
415,2.99954,2.74321,0.307684,4.39519, TRUE, 
416,2.98253,2.76007,0.282377,4.45842, TRUE, 
417,2.9648,2.77558,0.259511,4.52093, TRUE, 
418,2.94389,2.79153,0.236441,4.59319, TRUE, 
419,2.92316,2.80586,0.21629,4.66303, TRUE, 
420,2.90429,2.81739,0.200429,4.72314, TRUE, 
421,2.88562,2.8273,0.186972,4.78144, TRUE, 
422,2.86728,2.83639,0.174924,4.83852, TRUE, 
423,2.85026,2.84369,0.165301,4.89106, TRUE, 
424,2.83316,2.85057,0.156409,4.94596, TRUE, 
425,2.81723,2.85627,0.149063,4.99537, TRUE, 
426,2.79901,2.86287,0.140852,5.05822, TRUE, 
427,2.78483,2.86677,0.135793,5.10064, TRUE, 
