Time,PV,OP
352,0.327303943,0.331383466
353,0.144915637,0.5182693
354,0.167727527,0.561096906
355,0.220942554,0.607762098
356,0.272242602,0.49754405
357,0.497981128,0.360275983
358,0.471453723,0.130066633
359,0.209544238,0.189533948
360,0.171534595,0.624081373
361,0.091654834,1.024533033
362,-0.180798474,1.616837263
363,-0.125485364,2.088326215
364,-0.135022107,2.107506513
365,0.167727527,2.528279066
366,0.135401782,2.55109477
367,0.190547046,2.460957288
368,0.594569262,1.983265638
369,0.569964465,1.433651685
370,0.61728197,0.994992017
371,0.651347217,0.514302015
372,0.496089038,0.254914045
373,0.30831438,0.366966962
374,0.239947375,0.672966718
375,0.692957934,0.261124372
376,0.028849658,0.517582654
377,-0.142651502,0.876175642
378,-0.454007092,1.92049098
379,-0.337368909,2.734780073
380,-0.152180615,3.138771772
381,-0.014950696,3.075272321
382,-0.018765393,2.765404462
383,0.776141223,2.219925642
384,0.444911059,1.472481489
385,0.664584216,0.58681178
386,0.774241504,-0.369765521
387,0.968684253,-1.453669787
388,1.110026416,-2.71327138
389,1.062937793,-3.83008504
390,0.770464953,-4.44644475
391,0.399401721,-4.751425982
392,0.36905199,-5.01241994
393,0.201945361,-5.049521685
394,-0.05685896,-4.833396197
395,0.026942309,-4.593917132
396,0.382327136,-4.566504717
397,0.114481982,-4.401442767
398,-0.135022107,-4.287585497
399,0.068820056,-3.897296191
400,0.471453723,-4.213492632
401,0.125895556,-4.522956133
402,0.709979114,-4.907244921
403,0.327303943,-5.140101672
404,0.590785083,-5.641116381
405,0.475245532,-5.969615222
406,0.516932544,-6.332915545
407,-0.316349927,-5.985549212
408,-0.549710217,-5.161505938
409,-0.55737013,-4.142215014
410,-0.747158948,-3.573767901
411,-0.85083479,-2.689765215
412,-0.968083325,-1.703784228
413,-0.918095532,-0.932521105
414,0.25324541,-1.394305468
415,0.372843799,-2.139220477
416,0.209544238,-2.906832934
417,0.057398852,-2.778018237
418,-0.706868115,-2.206252337
419,0.065012988,-2.381411791
420,0.289332446,-2.798686266
421,0.194338855,-2.877494097
422,-0.144551221,-2.66097951
423,-0.094983045,-2.741824389
424,-0.243779126,-2.346068621
425,-0.681935254,-1.578742266
426,-0.520993176,-0.961558581
427,-0.635930005,-0.565081835
428,-0.4348802,-0.185847521
429,-0.538220349,0.270142316
430,-0.329724256,1.064945936
431,0.304522571,0.701710462
432,0.732668933,-0.153872729
433,0.846026477,-1.375544787
434,1.33200365,-2.572966815
435,0.515032825,-2.666655779
436,-0.011143628,-2.749984026
437,-0.285786572,-2.475425005
438,-0.045430127,-2.059359789
439,0.30642229,-2.365725756
440,0.490405139,-2.73235631
441,0.537760791,-3.371230364
442,0.511248645,-4.051146746
443,0.194338855,-4.148047686
444,-0.194149915,-3.72902608
445,-0.106419507,-3.185973406
446,-0.2762422,-2.479811907
447,-0.572697583,-1.755683184
448,-0.676182691,-1.034957171
449,-0.281964246,-0.550311327
450,-0.14645857,-0.309928179
451,0.078333911,-0.365126849
452,0.293131885,-0.817721606
453,0.350077685,-1.379271746
454,0.264643725,-1.787139178
455,0.391810473,-1.911269427
456,0.401293811,-2.107684374
457,0.624857959,-2.919699908
458,0.634318408,-3.402755023
459,-0.014950696,-3.248187304
460,0.09926897,-3.189627886
461,0.219050464,-3.092437029
462,0.049792346,-2.905608416
463,-0.285786572,-2.307482958
464,-0.352658216,-1.801589251
465,-0.406186048,-1.436991931
466,-0.432957593,-1.247855425
467,-0.257145825,-1.012446642
468,-0.689610425,-0.287265063
469,-0.100697461,-0.203280688
470,-0.064488355,-0.367385149
471,0.327303943,-0.758998156
472,-0.026379529,-1.142688036
473,0.004092273,-1.082015276
474,0.657023486,-2.048480273
475,0.569964465,-3.136115313
